"date","All School","Board of Education of the City of Chicago","Clark County School District (NV)","Los Angeles Unified School District (CA)","School District of Miami-Dade County","Houston Independent School District (TX)"
2022-10-03,68.8577563778154,109.302632739473,75.9055688772571,16.2072266459774,73.729743513744,43.5603789830087
2022-10-11,69.0372642467005,108.274286002441,76.9078734735213,16.8093220880319,74.307229957086,43.0404454385597
2022-10-17,65.4607162521735,105.023514148678,73.0939219700279,12.2791642364917,72.9775859048099,38.5912500343462
2022-10-24,62.0605723197748,102.69412065168,69.6786650028392,8.11326798547466,70.4744318413111,35.6745443525883
2022-10-31,60.7534749170038,102.413195050631,68.2398113533922,6.94212986438123,68.6561856340786,33.8360484488112
2022-11-07,65.1668119495685,105.244282716616,73.1442448540483,12.6579826680006,72.5096051393488,39.3075738811168
2022-11-14,71.4977877835612,108.435926891247,80.0361367142501,20.6737182860105,79.5393945286497,44.5903229597047
2022-11-21,78.7227347778872,110.863471182583,88.2847509800579,29.2969624229408,89.2155666027071,53.5362284065272
2022-11-28,83.7822699755852,112.208640390237,94.2487488133266,35.9777362071256,95.8038022608847,58.6724770993906
2022-12-05,86.0726934938173,113.800724523756,97.1390934831867,38.7299144859058,95.3747867352501,62.0264622697365
2022-12-12,85.7775671844772,113.696530956003,96.7442846197679,38.6191462745982,92.6060885574625,61.4543276404194
2022-12-19,84.3320583928504,113.48861487679,94.9113166059873,36.232057496163,88.749480986036,60.5142424089449
2022-12-27,84.9863443957832,112.713696024764,96.2437216863017,36.2624526308517,92.352111557223,60.9783870109225
2023-01-03,88.8774852275207,115.263445294193,101.214474739724,40.9085170497889,97.6506826045784,63.1576778514965
2023-01-09,95.2401985736445,118.0676657023,109.444012976365,48.8785977708206,106.082297890277,68.457027421304
2023-01-17,99.3476035464392,120.874800246993,114.914639890717,55.0629958373633,109.009719708281,69.0231351207901
2023-01-23,102.070477335802,121.976992021004,118.954688726432,58.9082267428782,107.935832007671,71.4469188293671
2023-01-30,101.351655225707,122.8214316687,118.288938668331,58.7173557854611,103.957325410416,68.3255929941446
2023-02-06,98.3866332184005,120.819087557472,114.966606415686,55.0512861978179,98.8862809394132,65.866928972848
2023-02-13,91.8931880346267,116.964706307646,106.775315316704,46.8210295352652,93.5102994467476,59.8658836133504
